+-----------------------------+-----------------------------------------------+----------+---------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                         |
| of the Block class in question. The actual final values may be different                               |
| for different states of the block, or they may depend on a TileEntity etc.                             |
+-----------------------------+-----------------------------------------------+----------+---------------+
| Mod name                    | Registry name                                 | Hardness |    Resistance |
+-----------------------------+-----------------------------------------------+----------+---------------+
| Arcane World                | arcaneworld:block_amethyst                    |     3.00 |         15.00 |
| Arcane World                | arcaneworld:block_sapphire                    |     3.00 |         15.00 |
| Arcane World                | arcaneworld:levitator                         |     3.00 |         15.00 |
| Arcane World                | arcaneworld:ore_amethyst                      |     3.00 |         15.00 |
| Arcane World                | arcaneworld:ore_amethyst_nether               |     3.00 |         15.00 |
| Arcane World                | arcaneworld:ore_sapphire                      |     3.00 |         15.00 |
| Arcane World                | arcaneworld:return_portal                     |    -1.00 |          0.00 |
| Arcane World                | arcaneworld:ritual_table                      |     3.00 |         15.00 |
| Better Nether               | betternether:agave                            |     0.00 |          0.00 |
| Better Nether               | betternether:barrel_cactus                    |     0.00 |          0.00 |
| Better Nether               | betternether:black_apple                      |     1.00 |          5.00 |
| Better Nether               | betternether:black_apple_seed                 |     0.00 |          0.00 |
| Better Nether               | betternether:black_bush                       |     1.00 |          5.00 |
| Better Nether               | betternether:block_eyeball                    |     0.50 |          1.50 |
| Better Nether               | betternether:block_eyeball_small              |     0.50 |          1.50 |
| Better Nether               | betternether:bone_block                       |     2.00 |         10.00 |
| Better Nether               | betternether:bone_button                      |     2.00 |         10.00 |
| Better Nether               | betternether:bone_cincinnasite_door           |     1.00 |          3.00 |
| Better Nether               | betternether:bone_mushroom                    |     0.00 |          0.00 |
| Better Nether               | betternether:bone_plate                       |     2.00 |         10.00 |
| Better Nether               | betternether:bone_reed_door                   |     1.00 |          3.00 |
| Better Nether               | betternether:bone_slab_double                 |     2.00 |         10.00 |
| Better Nether               | betternether:bone_slab_half                   |     2.00 |         10.00 |
| Better Nether               | betternether:bone_stairs                      |     2.00 |         10.00 |
| Better Nether               | betternether:bone_tile                        |     2.00 |         10.00 |
| Better Nether               | betternether:bone_wall                        |     1.00 |          3.00 |
| Better Nether               | betternether:brown_large_mushroom             |     0.25 |          1.25 |
| Better Nether               | betternether:chest_of_drawers                 |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_bars                |     0.50 |          9.00 |
| Better Nether               | betternether:cincinnasite_block               |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_brick_plate         |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_bricks              |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_bricks_pillar       |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_button              |     2.00 |         10.00 |
| Better Nether               | betternether:cincinnasite_carved              |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_fire_bowl           |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_forge               |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_forged              |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_frame               |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_lantern             |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_ore                 |     3.00 |         15.00 |
| Better Nether               | betternether:cincinnasite_pedestal            |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_pillar              |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_plate               |     0.50 |          1.50 |
| Better Nether               | betternether:cincinnasite_pot                 |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_slab_double         |     2.00 |         10.00 |
| Better Nether               | betternether:cincinnasite_slab_half           |     2.00 |         10.00 |
| Better Nether               | betternether:cincinnasite_stairs              |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_tile_large          |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_tile_small          |     3.00 |         30.00 |
| Better Nether               | betternether:cincinnasite_wall                |     1.00 |          3.00 |
| Better Nether               | betternether:egg_plant                        |     1.00 |          5.00 |
| Better Nether               | betternether:eye_seed                         |     0.00 |          0.00 |
| Better Nether               | betternether:eye_vine                         |     0.00 |          0.00 |
| Better Nether               | betternether:gray_mold                        |     0.00 |          0.00 |
| Better Nether               | betternether:ink_bush                         |     1.00 |          5.00 |
| Better Nether               | betternether:ink_bush_seed                    |     0.00 |          0.00 |
| Better Nether               | betternether:lucis_mushroom                   |     1.00 |          5.00 |
| Better Nether               | betternether:lucis_spore                      |     0.00 |          0.00 |
| Better Nether               | betternether:magma_flower                     |     0.50 |          2.50 |
| Better Nether               | betternether:nether_brick_tile_large          |     2.00 |         30.00 |
| Better Nether               | betternether:nether_brick_tile_slab_double    |     2.00 |         10.00 |
| Better Nether               | betternether:nether_brick_tile_slab_half      |     2.00 |         10.00 |
| Better Nether               | betternether:nether_brick_tile_small          |     2.00 |         30.00 |
| Better Nether               | betternether:nether_brick_tile_stairs         |     2.00 |         30.00 |
| Better Nether               | betternether:nether_brick_wall                |     1.00 |          3.00 |
| Better Nether               | betternether:nether_cactus                    |     0.00 |          0.00 |
| Better Nether               | betternether:nether_grass                     |     0.00 |          0.00 |
| Better Nether               | betternether:nether_mycelium                  |     0.50 |          2.50 |
| Better Nether               | betternether:nether_reed                      |     0.00 |          0.00 |
| Better Nether               | betternether:netherrack_furnace               |     1.00 |          3.00 |
| Better Nether               | betternether:netherrack_moss                  |     0.40 |          2.00 |
| Better Nether               | betternether:orange_mushroom                  |     0.50 |          2.50 |
| Better Nether               | betternether:pig_statue_01                    |     3.00 |         30.00 |
| Better Nether               | betternether:potted_plant_1                   |     0.50 |          1.50 |
| Better Nether               | betternether:quartz_glass                     |     3.00 |         30.00 |
| Better Nether               | betternether:quartz_glass_framed              |     3.00 |         30.00 |
| Better Nether               | betternether:quartz_glass_framed_pane         |     0.50 |          9.00 |
| Better Nether               | betternether:quartz_glass_pane                |     0.50 |          9.00 |
| Better Nether               | betternether:quartz_stained_glass             |     3.00 |         30.00 |
| Better Nether               | betternether:quartz_stained_glass_framed      |     3.00 |         30.00 |
| Better Nether               | betternether:red_large_mushroom               |     0.25 |          1.25 |
| Better Nether               | betternether:red_mold                         |     0.00 |          0.00 |
| Better Nether               | betternether:reeds_block                      |     2.00 |         10.00 |
| Better Nether               | betternether:reeds_button                     |     2.00 |         10.00 |
| Better Nether               | betternether:reeds_fence                      |     2.00 |         10.00 |
| Better Nether               | betternether:reeds_gate                       |     2.00 |         10.00 |
| Better Nether               | betternether:reeds_ladder                     |     0.40 |          2.00 |
| Better Nether               | betternether:reeds_plate                      |     2.00 |         10.00 |
| Better Nether               | betternether:reeds_slab_double                |     2.00 |         10.00 |
| Better Nether               | betternether:reeds_slab_half                  |     2.00 |         10.00 |
| Better Nether               | betternether:reeds_stairs                     |     2.00 |         10.00 |
| Better Nether               | betternether:smoker                           |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_bark                  |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_bottom                |     2.00 |          6.00 |
| Better Nether               | betternether:stalagnate_bowl_placed           |     0.10 |          0.50 |
| Better Nether               | betternether:stalagnate_middle                |     2.00 |          6.00 |
| Better Nether               | betternether:stalagnate_planks                |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_planks_button         |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_planks_fence          |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_planks_gate           |     2.00 |         10.00 |
