+---------------------------+---------------------------------------+------------------------------+-----+
| Mod name                  | Registry name                         | Entity class name            |  ID |
+---------------------------+---------------------------------------+------------------------------+-----+
| Arcane World              | arcaneworld:overgrown_sheep           | EntityOvergrownSheep         |   1 |
| Arcane World              | arcaneworld:rift                      | EntityRift                   |   0 |
| Better Nether             | betternether:firefly                  | EntityFirefly                |   0 |
| Better With Mods          | betterwithmods:bwm_dynamite           | EntityDynamite               |   2 |
| Better With Mods          | betterwithmods:bwm_fishing_hook       | EntityHCFishHook             |  10 |
| Better With Mods          | betterwithmods:bwm_jungle_spider      | EntityJungleSpider           |  12 |
| Better With Mods          | betterwithmods:bwm_mining_charge      | EntityMiningCharge           |   4 |
| Better With Mods          | betterwithmods:bwm_spider_web         | EntitySpiderWeb              |   9 |
| Better With Mods          | betterwithmods:bwm_tentacle           | EntityTentacle               |  11 |
| Better With Mods          | betterwithmods:bwm_urn                | EntityUrn                    |   3 |
| Better With Mods          | betterwithmods:entity_broadhead_arrow | EntityBroadheadArrow         |   6 |
| Better With Mods          | betterwithmods:entity_falling_gourd   | EntityFallingGourd           |   7 |
| Better With Mods          | betterwithmods:entity_sheared_creeper | EntityShearedCreeper         |   5 |
| Better With Mods          | betterwithmods:extending_rope         | EntityExtendingRope          |   1 |
| Better With Mods          | betterwithmods:falling_block_custom   | EntityFallingBlockCustom     |   8 |
| Better With Mods          | betterwithmods:longboi                | EntityLongboi                |   0 |
| Clumps                    | clumps:xp_orb_big                     | EntityXPOrbBig               |   0 |
| CoroUtil Library          | coroutil:bat_smart                    | EntityBatSmart               |   0 |
| Deadly Monsters           | dmonsters:baby                        | EntityBaby                   |   5 |
| Deadly Monsters           | dmonsters:climber                     | EntityClimber                |   3 |
| Deadly Monsters           | dmonsters:dagon                       | EntityDagon                  |  14 |
| Deadly Monsters           | dmonsters:entrail                     | EntityEntrail                |   8 |
| Deadly Monsters           | dmonsters:freezer                     | EntityFreezer                |   2 |
| Deadly Monsters           | dmonsters:hauntedcow                  | EntityHauntedCow             |  11 |
| Deadly Monsters           | dmonsters:luckyegg                    | EntityLuckyEgg               |  13 |
| Deadly Monsters           | dmonsters:mutantsteve                 | EntityMutantSteve            |   1 |
| Deadly Monsters           | dmonsters:present                     | EntityPresent                |   9 |
| Deadly Monsters           | dmonsters:stranger                    | EntityStranger               |  10 |
| Deadly Monsters           | dmonsters:topielec                    | EntityTopielec               |  12 |
| Deadly Monsters           | dmonsters:wideman                     | EntityWideman                |   6 |
| Deadly Monsters           | dmonsters:woman                       | EntityWoman                  |   7 |
| Deadly Monsters           | dmonsters:zombiechicken               | EntityZombieChicken          |   4 |
| Embers Rekindled          | embers:ancient_golem                  | EntityAncientGolem           |   2 |
